"","prcp_obs","prcp_mod","tmax_obs","tmax_mod","lat","lon"
"1",0,1.07771386902529,272.35864692132,266.28266688752,1,1
"2",0.0748647446582984,2.08053790731731,268.59470887965,263.871741790523,1,1
"3",0,0,272.023947847387,267.827455792593,1,1
"4",0,0,271.695921927103,268.633175141181,1,1
"5",0,0,270.219407699676,264.14922200093,1,1
"6",0.333838461689077,4.98616830541621,266.90879381187,264.531930471067,1,1
"7",0,1.04144138078033,267.244451063314,265.034589435651,1,1
"8",0,1.77522288137443,269.070906874699,264.116031202604,1,1
"9",0.591198461169119,0,269.615627709872,263.057088690867,1,1
"10",0,0,274.247372442337,271.347389517034,1,1
"11",0.226338948107663,0.558732763962576,269.907123333892,267.834199029204,1,1
"12",0.37654809168741,3.76867822052826,267.506216831489,262.396138886077,1,1
"13",0.293029523592518,0.29398385367526,267.271231365125,262.348166622324,1,1
"14",0,1.04531454917372,268.787609528427,265.11883487272,1,1
"15",0,1.331255965608,268.945215429792,263.853387178916,1,1
"16",0,1.34213085719272,268.989496963672,266.290316993065,1,1
"17",0.170210891572044,0.329976966053039,269.449665610054,260.867338869937,1,1
"18",1.26362511050118,5.03601913561581,267.297804035929,260.411933366149,1,1
"19",0,1.06049431995583,270.194585044131,266.902391549242,1,1
"20",0.63327079746146,1.69603281106377,266.09380500003,262.35173162212,1,1
"21",0,1.81100524390726,269.185586764264,266.372371072963,1,1
"22",0,0,270.526756291927,265.963680816668,1,1
"23",0.244763381262921,1.58289598384178,268.16548874929,261.789204130865,1,1
"24",0,0.178226289380266,270.419622963553,263.310137473394,1,1
"25",0.82562569991081,4.35344513825989,268.773176050827,263.415599037361,1,1
"26",0,2.81960086438932,269.889860814685,266.400071954149,1,1
"27",0,0.80382206889398,272.130890585528,267.173391274199,1,1
"28",1.74143471882662,0,267.656510981953,260.695648963854,1,1
"29",0.458575827876482,0,266.118313848579,261.188178579446,1,1
"30",0,0,269.829360848516,264.485521754406,1,1
"31",0.933550696879889,0.952621978076596,268.172266906906,267.45497785278,1,1
"32",0,0,268.49924628715,265.869666088854,1,1
"33",0.0308796598161054,2.61524420855594,267.906187819765,263.285071677876,1,1
"34",0.624402037825266,3.98863806488377,265.668828982765,264.228041092074,1,1
"35",0,0,270.355788136506,264.498730327129,1,1
"36",0,0,271.664342698944,269.388043191642,1,1
"37",0.243914171406211,2.5838540728866,270.115415083697,262.167727266851,1,1
"38",0,1.83824031603456,268.572169667948,263.262337538709,1,1
"39",0,0,272.081971125943,264.670793727293,1,1
"40",0,2.67629104171886,268.642304328935,263.857243378056,1,1
"41",0,0,273.693091884556,260.198146750837,1,1
"42",0,1.06173044529883,270.583911668316,264.207379183185,1,1
"43",0,0.459391082285797,268.836909945091,262.83054251214,1,1
"44",0,1.98506984467475,267.394139108902,263.958936091229,1,1
"45",0.214871213532922,3.10518685665196,265.771493236743,265.456694603946,1,1
"46",0.330578705150637,0,267.111482232959,266.403043972556,1,1
"47",2.0071599849318,0.459598505906602,264.571942064683,254.450113958138,1,1
"48",0,1.21630076204135,271.14567087961,264.497728325749,1,1
"49",0.49356896073869,0,270.066923963374,265.054321646022,1,1
"50",0.249411730082346,2.67367250674675,268.506762570679,263.739654140464,1,1
"51",0,0,270.186289831108,263.093875221429,1,1
"52",0,0,267.469229091669,263.290175292985,1,1
"53",0,0,274.291970729876,266.590086481556,1,1
"54",0,0.199875827535003,267.401093984032,266.984901079248,1,1
"55",0.891365887541046,3.3168157740941,268.507138743373,263.470458511692,1,1
"56",0.205750845887402,0.532926961708795,270.036233257954,266.726329216233,1,1
"57",0,1.58104619465968,270.386875627056,267.323993214939,1,1
"58",0,1.49086420645433,268.501791922825,262.01707094066,1,1
"59",1.26878073305446,3.60937745955748,264.73697447152,263.4939079383,1,1
"60",0.136901557843492,0.42938050464496,267.223323075965,262.901625670885,1,1
"61",0,2.0103280271181,270.324099322921,264.156495868716,1,1
"62",0,2.39156935102489,268.750337997893,261.876255460893,1,1
"63",1.25234410746247,3.3535140266254,266.867019737411,263.139518866176,1,1
"64",0,0,269.142448661853,262.102027621689,1,1
"65",0.593609362772408,0,267.63933015681,263.687975878829,1,1
"66",0.448356346974649,0.568558076707112,269.541421383058,265.922411090219,1,1
"67",0.0532958197128393,1.57704707870824,265.77738212605,262.42001042256,1,1
"68",0,0.90677921561383,270.470510857783,264.484240972554,1,1
"69",0,0.974959848170848,269.514581988146,263.658214768583,1,1
"70",0.238802479250891,0,269.715787562522,262.609203327915,1,1
"71",0,1.61633786524547,269.109943861577,262.776409681061,1,1
"72",0,2.26375469956542,269.525306941043,264.353317200631,1,1
"73",0.616036094031277,0,267.826429012455,260.934605488186,1,1
"74",0,2.44849501155071,269.178346990513,264.654763274278,1,1
"75",0.0564824522647029,2.32711272902357,269.559489567617,261.23637172307,1,1
"76",0,0,271.000657484538,263.488540998552,1,1
"77",0,0,269.824083153995,264.12038564487,1,1
"78",0,2.41648086842904,268.806332490436,264.129502136957,1,1
"79",0,0,267.63855900021,265.190992360326,1,1
"80",0,2.87783486107048,266.516800591064,264.835114095799,1,1
"81",0,0.688992873197725,267.976795594057,265.067294515441,1,1
"82",0,0.842056485809415,272.280492632778,266.737407671342,1,1
"83",0,0.198851608195283,270.974363116398,266.540301760359,1,1
"84",0.158149011580296,1.77813513625212,268.809859058887,263.968417848488,1,1
